Ano,Cargo,Quantidade de Desligamentos
2026,Analista Em Tecnologia Da Informacao,1
2025,Analista Em Tecnologia Da Informacao,11
2024,Analista Em Tecnologia Da Informacao,15
2023,Analista Em Tecnologia Da Informacao,7
2022,Analista Em Tecnologia Da Informacao,10
2021,Analista Em Tecnologia Da Informacao,11
2020,Analista Em Tecnologia Da Informacao,2
2019,Analista Em Tecnologia Da Informacao,8
2018,Analista Em Tecnologia Da Informacao,8
2017,Analista Em Tecnologia Da Informacao,21
2016,Analista Em Tecnologia Da Informacao,15
2015,Analista Em Tecnologia Da Informacao,34
2014,Analista Em Tecnologia Da Informacao,32
2013,Analista Em Tecnologia Da Informacao,21
2012,Analista Em Tecnologia Da Informacao,29
2011,Analista Em Tecnologia Da Informacao,22
2010,Analista Em Tecnologia Da Informacao,16
,,
Selection Status:,,
Desligamentos (cargo): Analista Em Tecnologia Da Informacao,,
Aba: Desligamento,,
